"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1,"Project Scheduling and Estimates",project,2021-10-01,2021-12-06,0,0,89.37,,,,,
1.1,"Software Requirements Document",group,2021-10-01,2021-10-10,0,0,100,,,,,
1.1.1,"Requirements Gathering",task,2021-10-01,2021-10-04,0,0,100,"Rhina Kim, Peter Vourantonis, Mauricio Beltran Franco, Jason Hilani",,,,blue1
1.1.2,"Requirements Modeling",task,2021-10-04,2021-10-10,0,0,100,"Rhina Kim, Peter Vourantonis, Mauricio Beltran Franco, Jason Hilani",,,,blue1
1.1.3,"External Interface Requirements",task,2021-10-09,2021-10-10,0,0,100,"Rhina Kim, Peter Vourantonis, Mauricio Beltran Franco, Jason Hilani",,,,blue1
1.2,"Architecture Design Document",group,2021-10-22,2021-10-26,0,0,100,,,,,
1.2.1,"Architecture Strategies - Design Decisions",task,2021-10-22,2021-10-25,0,0,100,"Rhina Kim",,,,orange1
1.2.2,"System Architecture",task,2021-10-24,2021-10-26,0,0,100,"Jason Hilani, Mauricio Beltran Franco",,,,orange1
1.2.3,"UI Design",task,2021-10-24,2021-10-26,0,0,100,"Peter Vourantonis",,,,orange1
1.3,"Quality Control Document",group,2021-11-01,2021-11-09,0,0,100,,,,,
1.3.1,"Quality Control Assessment Criterion",task,2021-11-01,2021-11-07,0,0,100,"Rhina Kim",,,,yellow1
1.3.2,"Technical Review",task,2021-11-01,2021-11-07,0,0,100,"Jason Hilani",,,,yellow1
1.3.3,"Unit Test Designing",task,2021-11-06,2021-11-09,0,0,100,"Peter Vourantonis, Rhina Kim, Jason Hilani",,,,yellow1
1.3.4,"Integration Test Designing",task,2021-11-07,2021-11-09,0,0,100,"Mauricio Beltran Franco",,,,yellow1
1.4,"Project Management Meetings",group,2021-12-01,2021-12-01,0,0,71.67,,,,,
1.4.1,"Concept Scoping",task,2021-12-01,2021-12-01,0,0,100,"Rhina Kim",,,,blue2
1.4.2,"Project Time/Cost Estimation",task,2021-12-01,2021-12-01,0,0,65,"Rhina Kim",,,,blue2
1.4.3,"Identifying Risks",task,2021-12-01,2021-12-01,0,0,50,"Peter Vourantonis",,,,blue2
1.5,"Project Management Document",group,2021-12-01,2021-12-06,0,0,91.67,,,,,
1.5.1,"Scheduling and Estimates",task,2021-12-01,2021-12-05,0,0,100,"Rhina Kim",,,,purple2
1.5.2,"Risk Analysis and Management",task,2021-12-02,2021-12-06,0,0,100,"Peter Vourantonis",,,,purple2
1.5.3,"Project Implementation Description",task,2021-12-05,2021-12-06,0,0,50,"Mauricio Beltran Franco, Rhina Kim",,,,purple2
1.6,"Code Implementation",group,2021-12-03,2021-12-06,0,0,55,,,,,
1.6.1,"Construct Library",task,2021-12-03,2021-12-06,0,0,50,"Mauricio Beltran Franco",,,,green3
1.6.2,"User Interface",task,2021-12-03,2021-12-06,0,0,60,"Mauricio Beltran Franco",,,,green3
1.7,Testing,group,2021-12-05,2021-12-06,0,0,47.5,,,,,
1.7.1,"Unit Testing",task,2021-12-05,2021-12-05,0,0,50,"Mauricio Beltran Franco",,,,green3
1.7.2,"Integration Testing",task,2021-12-06,2021-12-06,0,0,20,"Mauricio Beltran Franco",,,,green3
1.7.3,"Performance Testing",task,2021-12-05,2021-12-06,0,0,60,"Mauricio Beltran Franco",,,,green3
